,U_1t_sim
160,0.9241177779116446
161,0.9134394849130113
162,0.8032276364244961
163,0.553986236208774
164,0.3162149139924253
165,0.23315354445242287
166,0.3021887129094303
167,0.5178362662399851
168,0.756709106381759
169,0.8711607049161785
170,0.8739548552415571
171,0.7625576035026269
172,0.5050622080263196
173,0.25090142663108284
174,0.1436872568162132
175,0.15250879200981188
176,0.2693625921233097
177,0.4781844719779664
178,0.6441483533639003
179,0.6717846993522913
180,0.5511791353041302
181,0.33345242333706016
182,0.16837554884138684
183,0.11646078288167272
184,0.16203248454595892
185,0.34646517646910235
186,0.6380331721929206
187,0.8314083379104692
188,0.883342869695469
189,0.8387167627214542
190,0.6884523101326591
191,0.4890219540327237
192,0.38572997008062737
193,0.4395979020425833
194,0.6272276947331713
195,0.8123676740123579
196,0.8856516980777362
197,0.8462851894270687
198,0.6124405439001205
199,0.20973153303814207
200,0.02966992496271009
201,0.0054386805591012
202,0.005763697184436506
203,0.034869659185175615
204,0.255078941870275
205,0.7020259707298129
206,0.9124393068493759
207,0.9447930426110668
208,0.9012994254380268
209,0.7581766235206906
210,0.5770121908791827
211,0.5228830166289457
212,0.6421008425556838
213,0.8262854440653509
214,0.9253121507624006
215,0.9362893549721851
216,0.8433927563050805
217,0.4929662768132773
218,0.11141468154806244
219,0.015802166615378838
220,0.0072591500678586204
221,0.023505331084796632
222,0.16668864615707435
223,0.573262471281308
224,0.8380654415204323
225,0.8665105425231459
226,0.7022174080262977
227,0.32525059757965813
228,0.08949115232092386
229,0.04848423526011116
230,0.12514694507298085
231,0.5337737359962679
232,0.947048840996187
233,0.9979068857571409
234,0.9995594499594336
235,0.9974242743884024
236,0.9271843230675257
237,0.41665093959401434
238,0.05517829259483554
239,0.01270741654517819
240,0.023816475822206452
241,0.14432993486519985
242,0.5128158823008226
243,0.7774792283708435
244,0.7853049259671083
245,0.5435010525891624
246,0.1730580376850559
247,0.0330153573043971
248,0.017918596098848584
249,0.06616029690416876
250,0.41959583381388893
251,0.9116070454602974
252,0.9950123310973384
253,0.9987146307196633
254,0.9940583883142803
255,0.9029490828864639
256,0.442631296815852
257,0.10394786235443387
258,0.04803533257953204
259,0.09641478554833727
260,0.3247321164559236
261,0.6535376543076231
262,0.7819997140952397
263,0.6763856826091529
264,0.317681133294782
265,0.052006323740260395
266,0.006589210554073202
267,0.004493360141517643
268,0.029734701620214476
269,0.3099707687993182
270,0.8626877142896396
271,0.9905745812608469
272,0.9980416337411319
273,0.9954493932636018
274,0.9591533999132188
275,0.7607041813421612
276,0.478872060487558
277,0.38733730221946
278,0.49402276217814545
279,0.6849630638601315
280,0.7905153607477992
281,0.7397924665772488
282,0.4566736586660007
283,0.10389915142760647
284,0.0078785500635879
285,0.0008625971652144873
286,0.0009079424852961825
287,0.009730455040293207
288,0.15042759127177585
289,0.6411439875667999
290,0.9222015599790777
291,0.969351410595254
292,0.9556339235210681
293,0.8726542089688962
294,0.703259754368162
295,0.5805018647339182
296,0.6156355286213925
297,0.767388835348302
298,0.8962067777076328
299,0.9428487575077976
300,0.9291771399104659
301,0.8154652919959027
302,0.5105693535309588
303,0.19415760602242843
304,0.06815828262906223
305,0.0450196163483955
306,0.06686371607288652
307,0.14010572801148113
308,0.2485401409004836
309,0.31183865091486856
310,0.28423338943346044
311,0.20757135227338902
312,0.1551362530950665
313,0.169915083994717
314,0.30251709944490757
315,0.6014121494494294
316,0.8808777829927535
317,0.9764635192696283
318,0.9926354495581428
319,0.992222914082209
320,0.9750802644705686
321,0.89072088353444
322,0.6727668205986016
323,0.4217297977394119
324,0.2706597954880297
325,0.20898716125840933
326,0.18678150445899816
327,0.16844673671712013
328,0.13863877772739663
329,0.10404546328531455
330,0.08000118414238139
331,0.07599343029792813
332,0.10047066502407742
333,0.17252845880776663
334,0.31175727980347684
335,0.49507712514613633
336,0.6591946890380832
337,0.7707060077184618
338,0.8402345010542794
339,0.8878023506078883
340,0.9235030269273287
341,0.9476089301313735
342,0.9579430641817273
343,0.9508246791906447
344,0.9082220196261437
345,0.775719851814469
346,0.5098864545601385
347,0.23829296331777045
348,0.10053987233304496
349,0.06042084881921834
350,0.06623945588381808
351,0.11125839144019256
